court_number_link,court_number,style_of_cause,nature_of_proceeding,re_link
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2210-18,T-2210-18,OUTOTEC (SWEDEN) AB v. NORAM ENGINEERING AND CONSTRUCTORS LTD.,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2210-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2180-18,T-2180-18,INTERNATIONAL KARATE-DO GOJU-KAI ASSOCIATION CANADA ET AL. v. 1446148 AB Ltd,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2180-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2183-18,T-2183-18,TEVA CANADA INNOVATION AND OTHERS v. PHARMASCIENCE INC. AND OTHERS,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2183-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2182-18,T-2182-18,TEVA CANADA INNOVATION ET AL. v. PHARMASCIENCE ET AL.,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2182-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2155-18,T-2155-18,"OTTER PRODUCTS, LLC v. CELLCO INC.",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2155-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2153-18,T-2153-18,"2042923 ONTARIO INC. d.b.a. TRAVEL LEADERS v. TRAVEL LEADERS GROUP, LLC",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2153-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2136-18,T-2136-18,"FRIEDRICH GELDBACH GMBH v. M. GELDBACH (SHANXI) FLANGE & FITTINGS CO, LTD",Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2136-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2141-18,T-2141-18,AM ROYALTIES LIMITED PARTNERSHIP ET AL v. FIRST BITCOIN CAPITAL CORP ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2141-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2127-18,T-2127-18,9197-6449 QUÉBEC INC. v. ANTHONY BENDA et al,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2127-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2023-18,T-2023-18,ALLERGAN INC. v. SANDOZ CANADA INC. ET AL,Patented Medicines (NOC) Regulations [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2023-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1989-18,T-1989-18,ASTRAZENECA CANADA INC ET AL v. TARO PHARMACEUTICALS INC.,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1989-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1994-18,T-1994-18,BROWNS SOCIAL HOUSE LTD v RUSTIC SOCIAL HOUSE INC,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1994-18&select_court=T
